order_id,customer_id,customer_name,product_id,product_name,category,sub_category,order_date,delivery_date,order_quantity,unit_price,total_price,discount,payment_method,city,state,country,region,salesperson_id,salesperson_name,return_status,,
ORD9966,CUST5300,Robert Brown,PROD812,Monitorr,Appliances,Microwave,21-04-2023,02-05-2023,7,674.43,4721.01,48.8,online payment,New York,NY,USA,West,SP61,David,,ORD9966-Robert Brown-Monitorr-7,1
ORD9226,CUST2831,Robert Brown,PROD654,Phone,Electronics,Tablet,InvalidDate,InvalidDate,4,919.83,1987.7,28.64,online payment,Chicago,NY,USA,Central,SP85,Emma,Not Returned,ORD9226-Robert Brown-Phone-4,1
ORD3814,CUST7004,Michael Johnson,PROD810,Laptop,Appliances,Refrigerator,30-09-2023,12-10-2023,2,595.3,1190.6,46.13,Cash,New York,NY,USA,East,SP80,David,Returned,ORD3814-Michael Johnson-Laptop-2,1
ORD3155,CUST6567,Alice Smith,PROD638,Monitorr,Electronics,Tablet,24-06-2023,28-06-2023,2,1812.68,3625.36,10.59,Cash,New York,IL,USA,South,SP44,David,Not Returned,ORD3155-Alice Smith-Monitorr-2,1
ORD9078,CUST4982,Emma Watson,PROD665,HeadPhons,Appliances,Microwave,05-09-2023,13-09-2023,5,379.1,1895.5,2.21,Credit Card,Los Angeles,CA,USA,West,SP11,Bob,,ORD9078-Emma Watson-HeadPhons-5,1
ORD2856,CUST4442,Alice Smith,PROD297,Phone,Accessories,Keyboard,04-06-2023,03-06-2023,1,611.31,611.31,7.34,online payment,New York,IL,USA,South,SP50,Bob,Returned,ORD2856-Alice Smith-Phone-1,1
ORD5117,CUST6407,Robert Brown,PROD738,Laptop,Electronics,Tablet,17-01-2023,13-01-2023,3,580.4,1741.2,36.04,Credit Card,New York,CA,USA,South,SP13,David,Returned,ORD5117-Robert Brown-Laptop-3,1
ORD5397,CUST2213,John Doe,PROD996,KEYBOARD,Appliances,Washing Machine,29-03-2023,04-04-2023,2,326.77,653.54,8.27,Online Payment,Houston,NY,USA,Central,SP45,Charlie,Not Returned,ORD5397-John Doe-KEYBOARD-2,1
ORD5345,CUST9053,John Doe,PROD766,Monitorr,Electronics,Tablet,10-10-2023,14-10-2023,6,1146.63,6879.78,8.85,online payment,Houston,TX,USA,Central,SP62,Bob,,ORD5345-John Doe-Monitorr-6,1
ORD2925,CUST5259,John Doe,PROD275,tablet,Electronics,Phone,21-11-2023,20-11-2023,4,1688.68,6754.72,26.56,Credit Card,Houston,CA,USA,North,SP85,Alice,Returned,ORD2925-John Doe-tablet-4,1
ORD9351,CUST8285,Alice Smith,PROD349,Laptop,Appliances,Refrigerator,05-05-2023,30-04-2023,1,226.22,226.22,44.28,Cash,Los Angeles,IL,USA,North,SP47,Bob,,ORD9351-Alice Smith-Laptop-1,1
ORD5215,CUST8378,John Doe,PROD579,HeadPhons,Appliances,Microwave,27-09-2023,24-09-2023,9,1053.27,9479.43,35.77,Credit Card,New York,NY,USA,West,SP48,Charlie,Not Returned,ORD5215-John Doe-HeadPhons-9,1
ORD9612,CUST5510,Michael Johnson,PROD443,Monitorr,Electronics,Laptop,18-09-2023,15-09-2023,1,423.84,423.84,1.87,online payment,New York,AZ,USA,East,SP99,Bob,Not Returned,ORD9612-Michael Johnson-Monitorr-1,1
ORD5059,CUST3294,Emma Watson,PROD714,Phone,Accessories,Mouse,06-06-2023,17-06-2023,5,707.7,3538.5,4.79,Credit Card,New York,AZ,USA,Central,SP39,Bob,Returned,ORD5059-Emma Watson-Phone-5,1
ORD1202,CUST5725,John Doe,PROD849,Phone,Electronics,Tablet,30-09-2023,08-10-2023,1,210.63,210.63,26.79,credit card,Houston,NY,USA,South,SP50,Charlie,Not Returned,ORD1202-John Doe-Phone-1,2
ORD3194,,John Doe,PROD105,HeadPhons,Accessories,Keyboard,10-05-2023,17-05-2023,3,358.62,1075.86,42.75,Cash,Los Angeles,AZ,USA,East,SP94,Emma,,ORD3194-John Doe-HeadPhons-3,1
ORD7012,CUST6942,Robert Brown,PROD960,HeadPhons,Furniture,Table,29-12-2022,09-01-2023,8,820.81,6566.48,3.01,online payment,Los Angeles,TX,USA,North,SP96,Alice,,ORD7012-Robert Brown-HeadPhons-8,1
ORD3725,CUST6024,Emma Watson,PROD691,Phone,Appliances,Microwave,24-04-2023,24-04-2023,7,1959.68,13717.76,17.87,online payment,Houston,IL,USA,South,SP69,Emma,,ORD3725-Emma Watson-Phone-7,1
ORD6047,CUST3593,John Doe,PROD604,Laptop,Electronics,Laptop,29-07-2023,08-08-2023,2,1934.86,3869.72,-3.89,Cash,Los Angeles,IL,USA,East,SP36,Bob,,ORD6047-John Doe-Laptop-2,1
ORD7249,CUST5992,Robert Brown,PROD290,Phone,Accessories,Mouse,28-05-2023,28-05-2023,8,177.91,1423.28,-14.49,DEBIT card,Los Angeles,AZ,USA,North,SP96,Charlie,Returned,ORD7249-Robert Brown-Phone-8,1
ORD8259,CUST8206,John Doe,PROD245,Monitorr,Electronics,Phone,05-11-2023,12-11-2023,8,1314.17,10513.36,21.65,credit card,Chicago,NY,USA,East,SP90,Emma,Returned,ORD8259-John Doe-Monitorr-8,1
ORD7684,CUST3530,Michael Johnson,PROD637,HeadPhons,Furniture,Chair,03-09-2023,05-09-2023,9,404.85,3643.65,34.39,online payment,Los Angeles,AZ,USA,West,SP50,David,Not Returned,ORD7684-Michael Johnson-HeadPhons-9,1
ORD7046,CUST3106,John Doe,PROD971,Phone,Electronics,Phone,17-01-2023,21-01-2023,2,905.94,1811.88,45.35,Online Payment,New York,IL,USA,West,SP59,Emma,Not Returned,ORD7046-John Doe-Phone-2,1
ORD7150,CUST5789,Michael Johnson,PROD432,tablet,Electronics,Tablet,30-06-2023,26-06-2023,3,1231.01,3693.03,13.37,Online Payment,Los Angeles,TX,USA,South,SP63,Charlie,,ORD7150-Michael Johnson-tablet-3,1
ORD8584,CUST5215,Robert Brown,PROD654,Laptop,Appliances,Refrigerator,13-08-2023,10-08-2023,9,1731.89,10836.03,0.92,DEBIT card,New York,IL,USA,East,SP90,Emma,Returned,ORD8584-Robert Brown-Laptop-9,1
ORD7806,CUST1458,Robert Brown,PROD958,KEYBOARD,Furniture,Sofa,20-08-2023,31-08-2023,10,269.28,2692.8,10.81,credit card,Phoenix,IL,USA,North,SP23,David,Returned,ORD7806-Robert Brown-KEYBOARD-10,1
ORD7041,CUST5963,Alice Smith,PROD809,tablet,Furniture,Table,14-07-2023,26-07-2023,4,895.81,3583.24,7.91,credit card,Chicago,AZ,USA,Central,SP59,Emma,,ORD7041-Alice Smith-tablet-4,1
ORD2874,CUST1197,Alice Smith,PROD244,Monitorr,Furniture,Chair,16-04-2023,13-04-2023,4,1396.87,5587.48,,credit card,New York,CA,USA,North,SP81,Alice,,ORD2874-Alice Smith-Monitorr-4,1
ORD5508,CUST9332,Emma Watson,PROD802,tablet,Appliances,Washing Machine,29-12-2023,02-01-2024,3,1135.93,3407.79,14.75,Cash,Los Angeles,NY,USA,Central,SP83,Emma,Not Returned,ORD5508-Emma Watson-tablet-3,1
ORD8126,CUST9467,John Doe,PROD482,Laptop,Appliances,Microwave,30-06-2023,13-07-2023,4,884.71,3538.84,-26.79,Credit Card,Chicago,IL,USA,South,SP50,David,Returned,ORD8126-John Doe-Laptop-4,1
ORD9622,CUST3791,Emma Watson,PROD663,Phone,Accessories,Mouse,25-12-2022,03-01-2023,5,378.35,1891.75,39.23,Online Payment,Houston,TX,USA,West,SP59,Bob,Returned,ORD9622-Emma Watson-Phone-5,1
ORD7124,CUST3553,Alice Smith,PROD445,KEYBOARD,Furniture,Chair,29-05-2023,07-06-2023,6,301.81,1810.86,,online payment,Chicago,IL,USA,Central,SP63,Bob,Not Returned,ORD7124-Alice Smith-KEYBOARD-6,1
ORD5325,CUST9209,John Doe,PROD860,KEYBOARD,Appliances,Refrigerator,10-07-2023,13-07-2023,5,834.51,4172.55,,Cash,New York,AZ,USA,South,SP72,Emma,,ORD5325-John Doe-KEYBOARD-5,1
ORD8133,CUST7133,Alice Smith,PROD380,HeadPhons,Accessories,Headphones,24-06-2023,22-06-2023,3,194.5,583.5,44.3,DEBIT card,Los Angeles,IL,USA,Central,SP12,David,Not Returned,ORD8133-Alice Smith-HeadPhons-3,1
ORD4575,CUST8950,Alice Smith,PROD464,KEYBOARD,Electronics,Tablet,InvalidDate,InvalidDate,3,743.51,2230.53,-42.9,online payment,Houston,NY,USA,North,SP76,Emma,,ORD4575-Alice Smith-KEYBOARD-3,1
ORD1232,CUST9605,Robert Brown,PROD423,tablet,Accessories,Mouse,01-12-2023,13-12-2023,4,143.59,574.36,,credit card,Chicago,CA,USA,East,SP27,Charlie,Not Returned,ORD1232-Robert Brown-tablet-4,1
ORD5512,CUST8929,Emma Watson,PROD991,Monitorr,Furniture,Chair,14-04-2023,11-04-2023,2,1438.23,2876.46,-17.56,Cash,Chicago,CA,USA,East,SP78,Alice,Not Returned,ORD5512-Emma Watson-Monitorr-2,1
ORD6876,CUST1233,Alice Smith,PROD215,KEYBOARD,Accessories,Keyboard,17-01-2023,28-01-2023,8,586.36,5855.93,45.16,Credit Card,Los Angeles,AZ,USA,Central,SP76,Charlie,Not Returned,ORD6876-Alice Smith-KEYBOARD-8,1
ORD9283,CUST2060,Emma Watson,PROD316,KEYBOARD,Appliances,Refrigerator,08-11-2023,07-11-2023,8,166.23,1329.84,49.9,Online Payment,Houston,NY,USA,South,SP27,David,,ORD9283-Emma Watson-KEYBOARD-8,1
ORD8912,CUST6067,Michael Johnson,PROD735,Laptop,Electronics,Laptop,02-07-2023,11-07-2023,9,1960.1,17640.9,9.57,credit card,Chicago,IL,USA,North,SP37,Emma,,ORD8912-Michael Johnson-Laptop-9,1
ORD7467,CUST3459,Alice Smith,PROD887,Monitorr,Accessories,Mouse,19-01-2023,16-01-2023,2,69.32,138.64,32.05,Online Payment,Chicago,CA,USA,West,SP11,Alice,Returned,ORD7467-Alice Smith-Monitorr-2,1
ORD2020,CUST2959,John Doe,PROD217,Phone,Appliances,Microwave,24-06-2023,09-07-2023,7,1372.38,9606.66,22.56,credit card,Los Angeles,TX,USA,South,SP50,David,Not Returned,ORD2020-John Doe-Phone-7,1
ORD9515,CUST6840,John Doe,PROD689,HeadPhons,Appliances,Microwave,18-06-2023,24-06-2023,3,658.59,1975.77,29.4,Cash,Houston,CA,USA,East,SP13,Emma,Not Returned,ORD9515-John Doe-HeadPhons-3,1
ORD5910,CUST1199,John Doe,PROD530,Monitorr,Appliances,Refrigerator,09-09-2023,07-09-2023,2,1802.7,3605.4,6.08,Cash,Phoenix,NY,USA,Central,SP48,Bob,Not Returned,ORD5910-John Doe-Monitorr-2,1
ORD3321,CUST9587,John Doe,PROD900,KEYBOARD,Appliances,Refrigerator,16-11-2023,17-11-2023,5,1780.79,8903.95,49.67,Cash,Phoenix,IL,USA,South,SP65,Alice,Not Returned,ORD3321-John Doe-KEYBOARD-5,1
ORD3196,CUST4318,John Doe,PROD124,Laptop,Accessories,Keyboard,13-08-2023,11-08-2023,3,864.56,2593.68,26.76,online payment,Phoenix,NY,USA,North,SP36,Emma,Not Returned,ORD3196-John Doe-Laptop-3,1
ORD6980,CUST1538,Michael Johnson,PROD319,Laptop,Accessories,Mouse,27-08-2023,09-09-2023,8,1346.44,10771.52,17.1,DEBIT card,Phoenix,AZ,USA,East,SP60,David,Not Returned,ORD6980-Michael Johnson-Laptop-8,1
ORD2443,CUST2619,John Doe,PROD418,Monitorr,Furniture,Table,12-10-2023,15-10-2023,7,1253,8771,29.51,Credit Card,Chicago,NY,USA,Central,SP15,Bob,Not Returned,ORD2443-John Doe-Monitorr-7,1
ORD3643,CUST9313,Michael Johnson,PROD631,Laptop,Appliances,Refrigerator,22-08-2023,02-09-2023,6,272.62,1635.72,43.1,online payment,Chicago,IL,USA,North,SP55,David,,ORD3643-Michael Johnson-Laptop-6,1
ORD7532,CUST9761,Michael Johnson,PROD982,HeadPhons,Furniture,Chair,28-04-2023,28-04-2023,7,1838.7,12870.9,11.32,DEBIT card,New York,CA,USA,North,SP81,Bob,Not Returned,ORD7532-Michael Johnson-HeadPhons-7,1
ORD6928,CUST9810,Michael Johnson,PROD269,Phone,Appliances,Refrigerator,26-10-2023,07-11-2023,6,980.83,5884.98,24.93,online payment,Phoenix,CA,USA,North,SP74,Emma,Not Returned,ORD6928-Michael Johnson-Phone-6,1
ORD3444,CUST1917,Alice Smith,PROD896,Phone,Furniture,Chair,07-05-2023,19-05-2023,8,1693.48,13547.84,21.33,Credit Card,Los Angeles,CA,USA,East,SP63,David,Returned,ORD3444-Alice Smith-Phone-8,1
ORD8460,CUST9567,John Doe,PROD869,Laptop,Furniture,Sofa,09-03-2023,08-03-2023,1,472.29,472.29,23.95,online payment,Houston,TX,USA,South,SP50,Emma,Not Returned,ORD8460-John Doe-Laptop-1,1
ORD1823,CUST5195,Michael Johnson,PROD340,Monitorr,Electronics,Laptop,21-10-2023,30-10-2023,8,788.46,6307.68,41.28,online payment,Los Angeles,NY,USA,South,SP64,Charlie,Returned,ORD1823-Michael Johnson-Monitorr-8,1
ORD5011,CUST3993,Emma Watson,PROD538,KEYBOARD,Electronics,Tablet,29-03-2023,06-04-2023,7,92.99,650.93,45.64,online payment,Houston,TX,USA,South,SP28,Alice,Returned,ORD5011-Emma Watson-KEYBOARD-7,1
ORD9967,CUST5015,Michael Johnson,PROD607,KEYBOARD,Appliances,Refrigerator,10-03-2023,12-03-2023,3,958.11,2874.33,27.3,Cash,Houston,CA,USA,Central,SP73,David,Not Returned,ORD9967-Michael Johnson-KEYBOARD-3,1
ORD6952,CUST8472,John Doe,PROD655,HeadPhons,Electronics,Phone,08-10-2023,11-10-2023,2,109.73,219.46,32.79,Online Payment,Phoenix,TX,USA,West,SP58,David,,ORD6952-John Doe-HeadPhons-2,1
ORD1859,CUST5354,John Doe,PROD674,Laptop,Appliances,Microwave,08-07-2023,09-07-2023,5,1657.08,8285.4,26.73,DEBIT card,Phoenix,IL,USA,East,SP71,Alice,Not Returned,ORD1859-John Doe-Laptop-5,1
ORD5269,CUST2496,Robert Brown,PROD311,Phone,Accessories,Mouse,31-12-2022,14-01-2023,2,345.3,690.6,,Online Payment,Phoenix,CA,USA,South,SP11,Emma,Returned,ORD5269-Robert Brown-Phone-2,1
ORD6413,CUST2043,Michael Johnson,PROD660,Laptop,Accessories,Mouse,04-01-2023,07-01-2023,7,1337.58,9363.06,23.85,online payment,Chicago,IL,USA,North,SP74,Alice,,ORD6413-Michael Johnson-Laptop-7,1
ORD2876,CUST3171,John Doe,PROD827,Monitorr,Electronics,Phone,26-07-2023,03-08-2023,4,1893.05,7572.2,22.4,Credit Card,Houston,NY,USA,Central,SP25,Emma,,ORD2876-John Doe-Monitorr-4,1
ORD5334,CUST1997,Alice Smith,PROD600,Monitorr,Furniture,Sofa,10-05-2023,12-05-2023,6,876.38,5258.28,25.69,online payment,New York,IL,USA,Central,SP51,Emma,,ORD5334-Alice Smith-Monitorr-6,1
ORD8577,CUST4996,Michael Johnson,PROD300,tablet,Appliances,Washing Machine,28-05-2023,03-06-2023,1,838.32,838.32,36.83,Credit Card,Phoenix,CA,USA,West,SP30,Bob,,ORD8577-Michael Johnson-tablet-1,1
ORD7930,CUST8819,Alice Smith,PROD505,tablet,Electronics,Laptop,02-12-2023,11-12-2023,3,629.38,1888.14,-28,Online Payment,Los Angeles,TX,USA,Central,SP95,Emma,Returned,ORD7930-Alice Smith-tablet-3,1
ORD5634,CUST9797,Robert Brown,PROD999,Phone,Appliances,Refrigerator,18-03-2023,16-03-2023,2,1499,2998,5.74,DEBIT card,Chicago,AZ,USA,Central,SP19,Charlie,,ORD5634-Robert Brown-Phone-2,1
ORD2492,CUST1836,Robert Brown,PROD676,Phone,Electronics,Phone,29-01-2023,10-02-2023,5,866.24,4331.2,16.4,online payment,Houston,CA,USA,East,SP18,Alice,Not Returned,ORD2492-Robert Brown-Phone-5,1
ORD6644,CUST2196,John Doe,PROD961,Monitorr,Furniture,Table,15-10-2023,26-10-2023,3,759.42,2278.26,20.17,Cash,Chicago,CA,USA,West,SP50,Alice,Not Returned,ORD6644-John Doe-Monitorr-3,1
ORD3381,CUST2907,Robert Brown,PROD750,KEYBOARD,Accessories,Mouse,02-08-2023,09-08-2023,2,1207.43,2414.86,7.38,Cash,New York,NY,USA,North,SP11,Emma,Not Returned,ORD3381-Robert Brown-KEYBOARD-2,1
ORD8763,CUST8799,Michael Johnson,PROD297,KEYBOARD,Appliances,Microwave,01-12-2023,16-12-2023,1,572.73,572.73,23,online payment,New York,NY,USA,East,SP73,Emma,Not Returned,ORD8763-Michael Johnson-KEYBOARD-1,1
ORD8429,CUST9886,Michael Johnson,PROD248,tablet,Electronics,Tablet,27-08-2023,08-09-2023,7,76.72,537.04,11.21,Credit Card,New York,IL,USA,East,SP40,Alice,Returned,ORD8429-Michael Johnson-tablet-7,1
ORD9619,CUST8982,Alice Smith,PROD346,Monitorr,Furniture,Table,10-11-2023,11-11-2023,2,1408.06,2816.12,40.31,Online Payment,New York,CA,USA,Central,SP26,David,Returned,ORD9619-Alice Smith-Monitorr-2,1
ORD9019,CUST1157,Michael Johnson,PROD644,HeadPhons,Furniture,Table,15-02-2023,20-02-2023,2,1601.48,3202.96,28.06,DEBIT card,Chicago,NY,USA,North,SP47,Bob,Returned,ORD9019-Michael Johnson-HeadPhons-2,1
ORD1651,CUST2827,John Doe,PROD117,Laptop,Appliances,Washing Machine,28-04-2023,01-05-2023,5,302.43,1512.15,3.34,Cash,Los Angeles,AZ,USA,Central,SP92,Charlie,Not Returned,ORD1651-John Doe-Laptop-5,1
ORD2108,CUST8252,Michael Johnson,PROD133,Phone,Electronics,Phone,InvalidDate,InvalidDate,2,1228.58,2457.16,44.92,DEBIT card,Los Angeles,CA,USA,South,SP84,Alice,Not Returned,ORD2108-Michael Johnson-Phone-2,1
ORD2958,CUST4191,Alice Smith,PROD364,Phone,Appliances,Refrigerator,23-09-2023,03-10-2023,1,279.84,279.84,33.71,online payment,New York,TX,USA,East,SP66,Bob,,ORD2958-Alice Smith-Phone-1,1
ORD7369,CUST8475,John Doe,PROD811,Phone,Furniture,Table,05-05-2023,07-05-2023,7,525.81,3680.67,26.31,online payment,Los Angeles,IL,USA,West,SP49,Charlie,Not Returned,ORD7369-John Doe-Phone-7,1
ORD2295,CUST5124,Robert Brown,PROD341,Laptop,Electronics,Tablet,15-03-2023,24-03-2023,5,680.5,3402.5,36.93,Cash,New York,AZ,USA,South,SP53,Emma,Not Returned,ORD2295-Robert Brown-Laptop-5,1
ORD6003,CUST5435,Alice Smith,PROD521,tablet,Furniture,Sofa,21-09-2023,25-09-2023,6,1634.56,9807.36,37.46,credit card,Chicago,NY,USA,Central,SP16,Bob,Returned,ORD6003-Alice Smith-tablet-6,1
ORD8204,CUST3892,Emma Watson,PROD361,Monitorr,Furniture,Table,28-12-2022,02-01-2023,6,287.35,1724.1,42.4,Cash,Phoenix,NY,USA,North,SP46,Emma,Returned,ORD8204-Emma Watson-Monitorr-6,1
ORD1785,CUST8918,Emma Watson,PROD549,Monitorr,Electronics,Tablet,07-07-2023,16-07-2023,9,968.58,8717.22,14.16,DEBIT card,Chicago,IL,USA,Central,SP56,Alice,,ORD1785-Emma Watson-Monitorr-9,1
ORD9973,CUST5909,Emma Watson,PROD472,Monitorr,Furniture,Sofa,01-04-2023,30-03-2023,3,1856.35,5569.05,28.71,Credit Card,Los Angeles,IL,USA,North,SP26,Charlie,Returned,ORD9973-Emma Watson-Monitorr-3,1
ORD8598,CUST9719,John Doe,PROD631,KEYBOARD,Accessories,Mouse,24-03-2023,28-03-2023,1,1310.21,1310.21,42.91,Cash,Houston,CA,USA,North,SP90,Emma,Not Returned,ORD8598-John Doe-KEYBOARD-1,1
ORD1273,CUST5510,Alice Smith,PROD418,HeadPhons,Appliances,Washing Machine,06-05-2023,15-05-2023,1,1313.07,1313.07,9.83,Credit Card,Chicago,NY,USA,East,SP58,Alice,Not Returned,ORD1273-Alice Smith-HeadPhons-1,1
ORD9470,CUST9242,Emma Watson,PROD523,tablet,Furniture,Chair,26-06-2023,26-06-2023,10,1517.39,15173.9,23.34,Credit Card,Chicago,AZ,USA,South,SP51,Charlie,,ORD9470-Emma Watson-tablet-10,1
ORD2548,CUST8209,Emma Watson,PROD531,Laptop,Furniture,Chair,16-07-2023,25-07-2023,5,1260.76,6303.8,13.55,Cash,Chicago,IL,USA,East,SP75,Bob,Returned,ORD2548-Emma Watson-Laptop-5,1
ORD9906,CUST3984,Alice Smith,PROD918,HeadPhons,Furniture,Table,30-09-2023,03-10-2023,2,1646.25,3292.5,,Online Payment,Los Angeles,TX,USA,North,SP16,David,,ORD9906-Alice Smith-HeadPhons-2,1
ORD9341,CUST6229,Michael Johnson,PROD380,tablet,Accessories,Mouse,20-09-2023,29-09-2023,3,1815.29,5445.87,17.93,online payment,Chicago,AZ,USA,East,SP33,Alice,,ORD9341-Michael Johnson-tablet-3,1
ORD9151,CUST9348,John Doe,PROD629,HeadPhons,Appliances,Refrigerator,24-11-2023,08-12-2023,5,177.29,886.45,,credit card,Phoenix,IL,USA,South,SP85,Charlie,Returned,ORD9151-John Doe-HeadPhons-5,1
